kings	Karalis.
dangs	Viena gabala riteņa loks; dandzis (1).
dzēka	Dzērājs, žūpa.
krēpe	Sieviete ar izspūrušiem matiem.
laiba	Narkotiku šļirce.
putes	Putas.
falle	Fauls.
kains	Zirgu zaglis.
rauša	Rausis (cepums).
zonds	Lietussargs.
jārls	Augstākais karaļa ierēdnis agrajos viduslaikos Skandināvijā.
vādze	Izarums; zemes strīpa, kas paliek pāri, arot vagas; arot vai ecējot neskarta zemes sloksne tīrumā.
zvīle	Siena vāls.
bolšs	Zivju dukurējamā, baidāmā kārts.
kinza	Koriandrs (parasti tā zaļās, svaigās lapas).
grēva	Grēvis.
uršņa	Tāds, kas iet, visus kaktus izskatīdams.
umzas	Meža ceļā iebrauktas grambas.
metus	Ar draudiem radītas bailes, lai piespiestu otru uz kādu darījumu.
žolga	Netīrs ūdens.
ģedne	Sānkoki stellēm, kas savienoti ar šķēršiem.
šinna	Ratu riteņa stīpa.
tāpļa	Pļāpa, tarkšķis.
opaps	Vecaistēvs.
ucens	Mazs bērns.
aftes	Čūlas uz mutes gļotādas maziem bērniem.
lunga	Jumiķa lāpstiņa jēkulas pielīdzināšanai.
šizma	Shizma.
zaude	Zaudējums (sportā).
melos	Grieķu apzīmējums melodijas tīri lineārajam elementam bez attieksmes uz ritmu.
tirsa	Zāģa skaidu un māla maisījums ar ko cirkā nosedz manēžu.
tabla	Indiešu mūzikas instruments - mazu bungu pāris, ko spēlē ar roku pirkstiem.
maršs	Gājiens ierindā (parasti ritmiskā, vienmērīgā solī).
ābals	Kartupelis.
rocis	Rokturis.
zaiga	Laucinieciska, naiva meitene.
bļuga	Liels pulks, liels daudzums.
spāre	Karpu dzimtas suga ("Abramis ballerus"), plaudim līdzīga zivs, kas uzturas jūrā, bet nārsta laikā un mazuļu stadijā - upēs un caurtekošos ezeros; durba.
milne	Slotas kāts.
piska	Žilete.
jūtes	Deniņi.
krēša	Smējēja; kāda, kas skaļi smejas.
klāms	Muldonis.
monme	Japāņu svara vienība, 3,757 g.
klopš	Lieto (parasti atkārtojumā), lai atdarinātu troksni, kas rodas (dzīvniekam, parasti cūkai) strauji rijot ēdienu.
mitre	Mirte.
hlams	Nederīga manta, lieta; krāms.
džīna	Meitene.
dirba	Ātras dabas cilvēks.
žļākš	Raksturo troksni, kas rodas pēkšņi izlejot kādu šķidrumu.
zasis	Zass, negatavs.
drugs	Narkotikas.
cicis	Pups (dzīvniekam).
verbs	Vārdšķira, pie kuras pieder lokāmi vārdi, kas apzīmē darbību vai stāvokli; šīs vārdšķiras vārds; darbības vārds.
olūts	Avots.
taels	Naudas vienība Ķīnā no 14. gs. līdz 1933. g.; eksistēja daudzi (līdz 170) paveidi.
pesks	Spalvains, ar spalvām apaudzis.
čabas	Čabatas.
pūšus	Ar gaisa plūsmu, strāvu; pūšot.
līste	Garš, latai līdzīgs izstrādājums, kam ir taisnstūra vai profilēts šķērsgriezums un ko izmanto, piemēram, apmaļu, ierāmējumu veidošanai, salaidumu vietu nosegšanai.
osote	Tīruma tītenis ("Convolvulus arvensis").
kūsls	Noguris.
kļoša	Apģērba ieloce, kroka.
kažas	Tiesas process.
eists	Īsts.
šokte	Stulms.
šmikš	Raksturo asu kustību, rīkstes vai pātagas vicināšanu.
drote	Stieple.
kruts	Stāvs, kraujš.
kokss	Ar oglekli bagāts cietais kurināmais, ko iegūst, karsējot kurināmo, piemēram, akmeņogles, kūdru, naftas paliekas, bez gaisa piekļūšanas.
herba	Zāle 2, laksti; augu virszemes daļas apzīmējums farmacijā.
bruža	Smags darbs.
amols	Baltais āmulis ("Viscum album").
čības	Kausētu tauku pārpalikumi; dradži.
karde	Frizieru rīks - dēlītis, kurā vairākās rindās iestiprinātas adatas.
laura	Mūku mītne ar atsevišķām cellēm ap kādu kopīgu centru.
duķis	Kaut kas, kas ir truls un īss.
tulks	Tulkotājs, kas mutiski tulko tekstu no vienas valodas citā valodā; speciālists, kurš specilizējies runāta teksta tulkošanā mutvārdos.
ložis	Efeju sētložņa ("Glechoma hederaceae", senāk "Glechoma hederaceum").
herņa	Nejēdzība.
gulga	Cilvēks (arī dzīvnieks), kas guldzās, skaļi atraugājas.
arābs	Arābi.
glīna	Liekulīgs cilvēks.
cemme	Dzintele.
amils	Vienvērtīgs pentāna radikālis.
zauls	Zavoliņš.
kuzna	Sēklas miziņa (piem., pupai, zirnim).
ibiss	Putnu klases stārķveidīgo kārtas dzimta ("Threskiornithidae"), bridējputns ar garu, lokveidā saliektu vai taisnu knābi; 20 ģintis, 32 sugas, kas dzīvo tropos un subtropos; Latvijā kā reti ieceļotāji konstatētas 2 sugas.
plosa	Troksnis, plēšanās.
šļāga	Šļāka.
onīms	Īpašvārds.
kocis	Koka trauks; kocene.
tekss	Šķiedru, filamentu un pavedienu lineārā blīvuma mērvienība - viena kilometra masa gramos.
taira	Caunu sugas dzīvnieks, kas pēc ķermeņa uzbūves drīzāk atgādina zebieksti, dzīvo Vidusamerikā un Dienvidamerikā, var sasniegt 1,2 m garumu (kopā ar asti), visēdājs, kas lietusmežā pārtiek gan no pelēm un vāverēm gan augļiem.
vurza	Vurpis.
karns	Vājš, kalsns, tievs; kārns (1).
films	Filma.
aušis	Auša.
kņubs	Par daudz liekts.
krors	Vairākās Dienvidaustrumu Āzijas zemēs - vienība lielas rūpiju summas skaitīšanai (1 krors = 10 milj. rūpiju).
dalbe	Koka stumbrs.
garga	Putna, arī cilvēka kakls.
konda	Konna.
sirms	Tāds, kas ir zaudējis savu sākotnējo krāsu un kļuvis pelēcīgi balts (par matiem, bārdu u. tml.).
kubis	Vecs, vārgs zirgs.
čuzis	Tārps.
ļurga	Panīcis cilvēks.
airis	Īpaši veidots rīks airēšanai - šaurs lāpstveida priekšmets ar kātu.
karša	Rausis.
niece	Brāķis; izniekots darbs.
baģis	Badakāsis.
ķelle	Mūrnieka darbarīks - neliela trīsstūrveida plāksne ar izliektu kātu un rokturi.
salzs	Dubļu vulkāns, kas pastāvīgi vai periodiski izverd ar ūdeni un naftu sajauktus dubļus un gāzes.
čalma	Austrumnieku (parasti musulmaņu) vīriešu galvassega - drēbes gabals, ko aptin parasti ap cepuri.
bulks	Neliels baltmaizes kukulītis, arī smalkmaizīte.
tūbes	Tūba 2.
ofise	Ofiss.
paurs	Pauris.
klikš	Lieto, lai atdarinātu īslaicīgu, paklusu troksni, kas rodas, piemēram, nelieliem koka, arī metāla priekšmetiem strauji saskaroties vai atsitoties pret ko cietu; kliks; klikt.
ulens	Noguris, miegains (piemēram, slimības dēļ).
šļāca	Slapjdraņķis, lietus ar sniegu.
rieža	Muižas lauku zemes gabals, kas zemniekam klaušu kārtā bija jāapstrādā un jānokopj (no 17. gadsimta līdz 19. gadsimta vidum).
pulce	Pulcēšanās, sapulce.
koans	Paradoksāls domāšanas modelis.
šopus	Šaipus.
avins	Auns.
munus	Pienākums, gaitas.
algas	Dažādu zemāku augu nosaukums, kuri aug ūdenī vai miklumā; aļģe.
čorka	Zvejnieku māja.
šrote	Autokapsēta, kur bieži darbojas arī autodetaļu tirgus.
glīte	Rota, rotājums, dārglietas.
džapa	Rituāla mantras atkārtošana, kas pareizi izpildīta atkārtojas it kā pati no sevis, bez prāta līdzdalības.
sauja	Ieliekta plauksta ar kopā sakļautiem, parasti mazliet saliektiem, pirkstiem.
psora	Kašķis; ikviena niezoša ādas slimība.
krāms	Krāmi.
klūga	Dzērve.
vimba	Karpu dzimtas ģints.
kuprs	Kuprains (1).
negus	Neguss<sup>2</sup> - karstvīna paveids.
cirpe	Sirpis - sens pļaušanas rīks; kaut kas, kam sirpjveidīga forma.
cieša	Ciešanas.
hoķis	Hokejs.
bluks	Bluķis.
stāve	Aužamie stāvi; stelles.
egāls	Vienāds, līdzīgs.
jezda	Troksnis, kņada; tracis, burza, juceklis.
psihs	Nenormāls, psihiski slims cilvēks.
groze	No liepas mizas darināta kārba ar vāku.
červs	Spēļu kārts ar sirds attēlu; ercens.
pilka	Lāsteka.
šālis	Nomalis.
virbs	Tīkla zvejas piederums, miets pie bojas.
raiza	Durošas sāpes.
ganka	Kapliča baznīcas pagrabā.
jukla	Haoss, nekārtīga balsu, skaņu murdoņa, drūzma.
cikos	Norāda uz nezināmu pulksteņa laika momentu.
poēma	Liroepikas žanrs, kam raksturīgs dzejisks vēstījums par svarīgiem, izšķirošiem notikumiem tautas, kādas sociālas grupas vai atsevišķa cilvēka dzīvē; šī žanra daiļdarbs.
ēpule	Apaļš miets ar noasinātu galu.
munga	Sīka monēta Mongolijā, 0,01 tugriks.
virte	Rinda.
merga	Nomērējis cilvēks, vārgulis.
ekijs	Eiropas valūtas vienība (angļu "European Currency Unit"), balstījās uz dalībvalstu bruto nacionālo produktu un tirdzniecību; tā vērtība citu valstu valūtās tika aprēķināta un publicēta ik dienas; 1999. g. to aizstāja ar eiro.
uguns	Redzamās gaismas un siltuma starojums, kas rodas līdz attiecīgajai temperatūrai sakarsētā, parasti liesmojošā, vielā, materiālā; arī liesma, liesmu kopums.
knoza	Galva 1(1).
skuja	Skujkoku adatveida lapa.
izava	Veca, nonēsāta vīze, apavs; kaut kas vecs, nederīgs.
kuksa	Vērtspapīrs, kas apliecina tā īpašnieka dalības tiesības kādā kalnrūpniecības uzņēmumā, kura pamatkapitāls parasti sadalās 100-1000 daļās (vācu "Kux", angļu "share in a mine").
force	Spēks, vara, stiprā puse.
būtne	Organisms (augs, dzīvnieks), kas eksistē.
zalgs	Tāds, kas zalgo, tāds, kam ir raksturīgs zalgojams.
krūda	Zaudējums, bojājums.
henna	Sarkanbrūna dabiskā krāsviela.
grīņš	Grīns 3(2).
pikre	Grīšļu dzimtas ģints ("Pycreus"), lakstaugi ar ložņājošu vai īsu sakneni un stāvu stulbāju, aug mitrās vietās, ziedi sīki, divdzimumu, bez apziedņa, ~70 s., Latvijā konstatēta 1 s.
gārse	Podagras gārsa ("Aegopodium podagraria").
prāka	Indiešu filosofijā dvesma, elpa, universālais enerģijas princips un dzīvības spēks.
buxus	Bukšu dzimtas ģints.
čusls	Sauss, raupjš.
mirda	Vārgulis.
kripš	Lieto, lai atdarinātu īslaicīgu, klusu troksni, kas rodas, piemēram, cietiem, sīkiem priekšmetiem saskaroties citam ar citu.
grūva	Zemes iegruvums.
šorts	Šorti.
zagss	Dzimtsarakstu birojs jeb Valsts civilstāvokļa aktu reģistrācijas nodaļa (saīs. no krievu "zapis aktov graždanskogo sostojaņija"); zakss.
modre	Sardze.
kalns	No visām pusēm izteikti norobežots augsts zemes virsas pacēlums (parasti ar relatīvo augstumu pāri par 200 metriem); nozīmīgs paugurs (piemēram, pēc augstuma).
tanga	Sudraba sīknauda Vidusāzijā.
balus	Izlikt balot; atrasties balošanas stadijā.
repos	Miers, atpūta.
īgoņa	Īgņa.
foins	Labs.
glume	Ārstniecības tauksakne ("Symphytum officinale").
pļaka	Pļāpas, aprunāšana.
kroza	Krevele.
josms	Josta.
farss	Sens franču sadzīves komēdijas paveids; komēdija vai vodeviļa ar ārišķīgiem, parupjiem efektiem.
ciems	Māja, vieta, kur ciemojas.
pudrs	Puduris, bars.
dakša	Metāla darba rīks ar diviem vai vairākiem (parasti paralēliem) zariem (piemēram, siena, salmu uzņemšanai un pacelšanai) un pagaru kātu.
terva	Lamuvārds.
pliķe	Tukša, ne ar ko neaizaugusi vieta; neauglīgs lauks.
plūns	Plūmju koks.
ķūsis	Kāds, kurš ģērbies pārāk apspīlētā apģērbā.
redze	Radze 1.
dižie	28 punktu burtu biezuma apzīmējums; divkāršvidējie.
ņudze	Bars, jūklis, daudzums (dzīvu būtņu).
ķerza	Drūzma, burza.
mūsus	Akuzatīvs no "mēs", mūs.
rezga	Sarežģījums.
akets	Aketa laiks - ikgadējā plūdu perioda apzīmējums senajā Ēģiptē ("akhet hierglyph and seasson").
čeins	Angļu garuma mērs, vienāds ar 20,1 m (1 ķēde = 100 locekļi = 22 jardi).
nenne	Dzēriens (bērnu val.).
ulica	Ceļš starp diviem žogiem.
šķira	Pēc noteiktām kvalitātes pazīmēm veidota (vienveidīgu priekšmetu, vielu u. tml.) grupa.
ursus	Lāči.
zusis	Zutis.
rebis	Eiropiešu alķīmijā viela, no kuras jāiegūst Filozofu akmens.
alkas	Spēcīga, kaislīga vēlēšanās, lielas ilgas.
žokle	Žoklis.
nīdas	Oļi, akmentiņi, ko jūra ilgi skalojusi un berzējusi.
sitta	Dzilnīši.
kalts	Upes krasta daļa, kas ieliecas upē.
tjipa	Kā; tā kā; līdzīgi kā.
dzēze	Melnais stārķis.
mošus	Muskuss.
lungs	Tibetas tantristu tradīcijā iesvētīšana zemākajā pakāpē, kas nepieciešama, gatavojoties jebkurai garīgai attīstībai, sākot ar alfabēta mācīšanos vai reliģiskas grāmatas lasīšanu, līdz mantru runāšanai un meditācijai.
ģipts	Inde.
čurka	Dienvidnieks vai aziāts.
sīkne	Mazi, biezi krūmi.
ērtns	Irdens.
ugija	Naudas vienība Mauritānijas Islāma Republikā, sīknauda - kums.
kurža	Grozs, kurvis.
rieve	Rieva.
buste	Dibens.
padža	Pagaidi.
moris	Tumšādainais.
dards	Lāsains, raibs.
molča	Mierīgi; vienkārši.
njāja	Senindiešu filozofijas sistēma; īpašu vērību pievērsa izziņas loģiskajiem aspektiem un atzina 4 drošus izzinās līdzekļus - uztvērumu, secinājumu, salīdzinājumu un pierādījumu; pieļāva arī nedrošus izziņas līdzekļus, etiķa aicināja atbrīvoties no pieķeršanās lietu pasaulei.
olāts	Oļains.
mokha	Moka.
mesks	Jauns vīrietis.
tulms	Rumpis bez locekļiem.
nojds	Sāmu burvis jeb šamanis.
dorga	Krāpšana, viltus, blēdība.
baška	Galva.
anura	Bezastainie abinieki - hordaiņu tipa mugurkaulnieku apakštipa abinieku klases kārta.
agape	Tuvāko mīlestība kā pretmets erotiskajai mīlestībai.
ūksme	Paslēptuve, vieta, kur kaut kas paslēpts; ēnaina vieta.
dzīre	Ašņu dzīre - parastais pelašķis ("Achillea millefolium").
caurs	Tāds, kam ir caurums vai caurumi.
atika	Sienas daļa virs dzegas, parasti uzrakstiem vai bareljefiem.
gumma	Terciārā sifilisa infekciozā granuloma.
beņža	Benzīns.
plika	Savienojumā ar "plaka" raksturo maizes mīcīšanas skaņas.
burkš	Izsauksmes vārds ātras darbības raksturošanai.
fanta	Zīmols: gāzēts atspirdzinošs dzēriens ar apelsīnu garšu.
agnus	Jērs.
šķiņa	Šķīnis (6) - pūra nauda, ko panāksni šķiroties samet līgavai.
laīda	Slinks cilvēks (parasti sieviete).
guzna	Guza.
phoca	Roņu dzimtas ģints.
štiks	Durklis.
pinus	Priedes.
sābre	Kaimiņiene.
druka	Iespiedums, iespiešana.
zaļie	Dolāri.
žeiba	TYukša, bez satura sieviete.
bička	Tautas deja.
vukta	Utka.
vēsts	Dzestrs, vēss.
ģēlis	Grēmas.
madžs	Mazs.
jaire	Šūpoles, šūpulis.
smēde	Kalēja darbnīca; kalve (1).
veigs	Vaigs.
līķis	Līkums.
slips	Iekārta, kas sastāv no ratiņiem un ūdenī slīpi iegremdētām sliedēm un kas ir paredzēta kuģu izcelšanai no ūdens vai to nolaišanai ūdenī.
zenka	Pienapuika.
mente	Neliela, parasti koka, lāpstiņa (piemēram, kā maisīšanai).
papua	Papuasi.
ņerkš	Raksturo troksni, kāds rodas kaut kam lūstot.
ģiska	Kaušanās.
vilks	Vilnas kāršamās mašīnas sastāvdaļa.
džura	Liela, saduļķota peļķe.
mūģis	Skopulis.
ilgas	Psihisks stāvoklis, kam raksturīga dziļa, parasti arī ilgstoša, tieksme, vēlēšanās (parasti pēc kā labāka vai arī tāla, grūti sasniedzama).
krens	Mārrutks (augs).
asaga	Asaka.
astma	Elpas trūkuma lēkme, aizdusa.
horos	Akmens plāksne Atēnās, ko uzstādīja ieķīlāto zemes gabalu un vispār īpašuma priekšā par zīmi, ka attiecīgā manta ieķīlāta.
berta	Policijas automašīna aizturēto pārvadāšanai.
kamma	Pāli valodas vārds, kas atbilst budistu jēdzienam karma.
obuls	Bikšu priekša.
daiva	Katra no vienveidīgām, norobežotām daļiņām, kas veido veselo.
trubs	Truls, neass.
brikš	Lieto, lai atdarinātu īslaicīgu, asu troksni, kas rodas, piemēram, lūstot zariem, koka priekšmetiem, plaisājot ledum.
ojars	Nevaldāms, izlaidīgs.
verņa	Spēks.
badus	No badus - no bada.
klēts	Lauksaimniecības celtne graudu uzglabāšanai.
spīte	Spīts.
krūce	Ar izaugumiem un celmiem bagāta vieta.
žiegs	Noplucis cilvēks vai dzīvnieks.
luķis	Metāla veidojums (riņķis) pie sedulkas, caur kuru ver sedulkas siksnu.
čarma	Sarma.
tīmus	Aizkrūtes dziedzeris (ar iekšējo sekrēciju).
zeļģe	Ziede.
gūsts	Kāds, kurš kaut ko meklē, cenšoties to noķert.
legua	Spāniešu jūdze, 5,573 km; Portugālē un Argentīnā 5 km, Meksikā 4,11 km.
žēlas	Žēlabas (1); arī žēlums.
parva	Nobrāzums koka mizā.
deģis	Cilvēks, kas nodarbojas ar (darvas, ogļu, spirta u. tml.) dedzināšanu.
burža	Zivs, kas dzīvo kā jūrā tā saldūdeņos.
pļega	Karogs.
zilte	Maltas gaļas galerts.
miegs	Nervu sistēmas diennakts ritma izraisīts organisma stāvoklis, kurā intensīvi atjaunojas un uzkrājas audu enerģētiskās un funkcionālās rezerves un kuram raksturīgi kavēšanas procesi plašos galvas smadzeņu garozas apvidos.
skirs	Lēni augoša karcinoma, kurā ir bagātīgi attīstīti, cieti saistaudi.
denks	Labs, labi.
slīde	Darbība, process --> slīdēt(1).
žurds	Tievs kociņš; mazs kruķītis.
apašs	Deklasēts elements Francijā, huligāns, zaglis.
pente	Samudžināta dzija vai cits kas samudžināts, ko grūti atdabūt vaļā.
dieve	Dieviete.
gaišs	Tāds, kas dod stipru apgaismojumu (par gaismas avotu); stiprs (par gaismu).
piuka	Pīkste (zivs).
sātns	Sātīgs, barojošs.
otūls	Atāls.
auška	Augša.
baras	Nodevas beramā mantā, īpaši labības.
rosis	Riekstu rosis - riekstrozis.
heķis	Jahtas vai kuģa pakaļgals.
purda	Dažu islāma un hinduisma tautu praktizētā sieviešu izolēšana.
unuks	Mazdēls.
klīrs	Caurspīdīgs.
ēvele	Darba rīks koka virsmas apstrādāšanai.
trone	Trans.
lamas	Rupji, apvainojoši, aizskaroši vārdi, izteicieni.
flome	Lūpziežu dzimtas ģints ("Phlomis"), dekoratīvi ziedaugi ar spēcīgiem, stāviem ziediem, kas aug uz stublājiem pušķos un labi noder griešanai.
želva	Samazgas.
žeoda	Uz iežu dobuma sienām izaudzis minerālagregāts ar tukšu vidu (liela sekrēcija).
īlens	Darba rīks - spalā iestiprināts smails metāla stienis (caurumu izduršanai, piemēram, ādā, papē).
milze	Milzis.
lonte	No liniem nogriezta saite; vecs virves gabals.
fanks	20. gs. 70. gadu afroamerikāņu mūzikas stils, tam raksturīgs sinkopēts ritms, griezīgi asa ritma ģitāra, specifiska basģitāras partija; sitamie instrumenti, afrikāņu motīvi, jūtama džeza ietekme, dzīvi apliecinoša deju mūzika; "funk"; "funky"; fanki; fankī.
aijas	Šūpojošas, aijājošas kustības, arī darbība --> aijāt.
tvīce	Karstums, tveice.
beģis	Vājš, vecs, mazs zirgs.
pulke	Meksikāņu nacionālais dzēriens no raudzētas, saldinātas agaves sulas, viegli skābens, alkohola saturs 5-6%.
mānis	Māņi.
rauds	Redzoklis, acs zīlīte.
mīkņa	Atkusnis.
gļēva	Gļēvs, slinks cilvēks; glēvis.
ķeips	Ieguvums.
firma	Uzņēmums (organizācija) vai uzņēmumu apvienība, kam ir juridiskas personas tiesības.
ļades	Plaukšķināt.
svira	Vienkāršs mehānisms - ar statni kustīgi savienots ciets ķermenis, kas var pagriezties ap savienojuma ģeometrisko asi.
zilbe	Vārda skaņa vai skaņu kopa, ko izrunā ar vienu elpas izdvesumu.
šķīda	Vairogs.
slīps	Tāds, kas ar kādu plakni vai taisni veido šauru vai platu leņķi.
vaņka	Krievs.
simps	Simpods.
abuss	Pārmērīga medikamentu, narkotisko vielu lietošana.
aģils	Izveicīgs, veikls.
alīva	Helēniju staģe ("Inula helenium").
melga	Melga zāle - meldri.
gāzne	Liels ūdens vilnis, paisuma vilnis; ūdenskritums.
slama	Nolaidīgs, netīrs, slapjš radījums; lamu vārds.
vaida	Vaidēšana, nelaime, posts.
brese	Dzimumzīme, zīme.
meils	Elektroniskā vēstule.
liste	Blanka, anketa, arī saraksts.
šaras	Zirglietas, iejūgs.
veice	Spēja, veikums.
zilcs	Pārtikas produkts, ko gatavo no gaļas, mēlēm, aknām u. c. subproduktiem.
kodne	Ķimikālija, ar ko kodina (1).
derba	Kalsens, izbadojies cilvēks.
dzese	Temperatūras pazemināšana līdz noteiktai robežai, dzesēšana.
rauts	Plašas, greznas viesības, parasti ar daudziem ēdieniem un alkoholiskiem dzērieniem.
āliņš	Āliņģis.
gļēvs	Tāds, kam ir vāja griba, tāds, kam trūkst drosmes, iniciatīvas; mazdūšīgs, neuzņēmīgs, arī bailīgs.
pūtes	Izsitumi sejas, krūšu un muguras ādā cilvēkiem, kam ir pastiprināta tauku dziedzeru sekrēcija; pinnes.
atata	Prieka izsauciens.
risce	Ceļā izbraukta grope, rice.
ķempe	Piepe (koka; "Polyporus igniarius").
etaps	Posms (kādā norisē, procesā).
bauza	Galvaskauss, pauris.
palsa	Pelēkums.
lozme	Nomizots koka gabals.
seržs	Saržs.
ļepka	Galva; arī cepure.
idīts	Sešvērtīgs spirts.
vodka	Degvīns.
leins	Neuzvedīgs, nekārtīgs cilvēks.
peers	Pērs.
timba	Bieza viela vai biezs šķidrums.
sližs	Slidens.
kņope	Āķis apģērba aizdarei.
ļacka	Purns.
luska	Nolaidīgs, nevīžīgs.
vēpla	Cilvēks, kas skaļi un nesaturīgi runā.
lančs	Lenčs.
gerle	Rēviju dejotāja, kas uzstājas grupā.
