dowve	A dove.
tithe	A tenth; the tenth part of anything; specifically, the tenthpart of the increase arising from the profits of land and stock, allotted to the clergy for their support, as in England, or devoted to religious or charitable uses. Almost all the tithes of England and Wales are commuted by law into rent charges.
budge	A kind of fur prepared from lambskin dressed with the wool on; -- used formerly as an edging and ornament, esp. of scholastic habits.
image	An imitation, representation, or similitude of any person, thing, or act, sculptured, drawn, painted, or otherwise made perceptible to the sight; a visible presentation; a copy; a likeness; an effigy; a picture; a semblance.
faery	Fairy.
hyrse	Millet.
lokao	A green vegetable dye imported from China.
troth	Belief; faith; fidelity.
afric	Africa.
belly	That part of the human body which extends downward from the breast to the thighs, and contains the bowels, or intestines; the abdomen.
quart	In cards, four successive cards of the same suit.  Cf. Tierce, 4.
rewme	Realm.
stond	Stop; halt; hindrance.
twink	A wink; a twinkling.
grime	Foul matter; dirt, rubbed in; sullying blackness, deeply ingrained.
penny	A former English coin, originally of copper, then of bronze, the twelfth part of an English shilling in account value, and equal to four farthings, or about two cents; -- usually indicated by the abbreviation d. (the initial of denarius).
pilot	One employed to steer a vessel; a helmsman; a steersman.
tarse	tarsus.
draco	The Dragon, a northern constellation within which is the north pole of the ecliptic.
gazon	One of the pieces of sod used to line or cover parapets and the faces of earthworks.
hydra	A serpent or monster in the lake or marsh of Lerna, in the Peloponnesus, represented as having many heads, one of which, when cut off, was immediately succeeded by two others, unless the wound was cauterized. It was slain by Hercules. Hence, a terrible monster.
tweer	Same as Tuy<egrave/re.
arrow	A missile weapon of offense, slender, pointed, and usually feathered and barbed, to be shot from a bow.
canna	A genus of tropical plants, with large leaves and often with showy flowers. The Indian shot (Canna Indica) is found in gardens of the northern United States.
range	A series of things in a line; a row; a rank; as, a range of buildings; a range of mountains.
shalm	See Shawm.
vouch	Warrant; attestation.
cocus	one of the Titans.
jacal	In Mexico and the southwestern United States, a kind of plastered house or hut, usually made by planting poles or timber in the ground, filling in between them with screen work or wickerwork, and daubing one or both sides with mud or adobe mortar; also, this method of construction.
crock	nonsense; balderdash; humbug; -- usually used in the phrase a crock.
mhorr	See Mohr.
twist	The act of twisting; a contortion; a flexure; a convolution; a bending.
yacht	A light and elegantly furnished vessel, used either for private parties of pleasure, or as a vessel of state to convey distinguished persons from one place to another; a seagoing vessel used only for pleasure trips, racing, etc.
boult	Corrupted form Bolt.
storm	A violent disturbance of the atmosphere, attended by wind, rain, snow, hail, or thunder and lightning; hence, often, a heavy fall of rain, snow, or hail, whether accompanied with wind or not.
maple	A tree of the genus Acer, including about fifty species. Acer saccharinum is the rock maple, or sugar maple, from the sap of which sugar is made, in the United States, in great quantities, by evaporation; the red maple or swamp maple is Acer rubrum; the silver maple, Acer dasycarpum, having fruit wooly when young; the striped maple, Acer Pennsylvanium, called also moosewood.  The common maple of Europe is Acer campestre, the sycamore maple is Acer Pseudo-platanus, and the Norway maple is Acer platanoides.
belch	The act of belching; also, that which is belched; an eructation.
junco	Any bird of the genus Junco, which includes several species of North American finches; -- called also snowbird, or blue snowbird.
duena	See Do<ntil/a.
knock	A blow; a stroke with something hard or heavy; a jar.
sword	An offensive weapon, having a long and usually sharp-pointed blade with a cutting edge or edges. It is the general term, including the small sword, rapier, saber, scimiter, and many other varieties.
agone	Agonic line.
chare	A chore; to chore; to do. See Char.
ensis	a genus of bivalve mollusks consisting of razor clams.
mound	An artificial hill or elevation of earth; a raised bank; an embarkment thrown up for defense; a bulwark; a rampart; also, a natural elevation appearing as if thrown up artificially; a regular and isolated hill, hillock, or knoll.
yupon	Same as Yaupon.
birse	A bristle or bristles.
ceiba	a genus of tropical American trees with palmately compound leaves and showy bell-like flowers.
stirk	A young bullock or heifer.
etwee	See <Eacute/tui.
stint	Limit; bound; restraint; extent.
gamba	A viola da gamba.
sight	The act of seeing; perception of objects by the eye; view; as, to gain sight of land.
meros	The proximal segment of the hind limb; the thigh.
phase	That which is exhibited to the eye; the appearance which anything manifests, especially any one among different and varying appearances of the same object.
toret	A ring for fastening a hawk's leash to the jesses; also, a ring affixed to the collar of a dog, etc.
lawnd	See Laund.
maqui	A Chilian shrub (Aristotelia Maqui). Its bark furnishes strings for musical instruments, and a medicinal wine is made from its berries.
stele	A stale, or handle; a stalk.
sheer	The position of a vessel riding at single anchor and swinging clear of it.
sopor	Profound sleep from which a person can be roused only with difficulty.
talpa	A genus of small insectivores including the common European mole.
paste	A soft composition, as of flour moistened with water or milk, or of earth moistened to the consistence of dough, as in making potter's ware.
refut	Refuge.
piety	Veneration or reverence of the Supreme Being, and love of his character; loving obedience to the will of God, and earnest devotion to his service.
veldt	A region or tract of land; esp., the open field, thinly forested or with bushes and shrubs; grass country.
frump	A contemptuous speech or piece of conduct; a gibe or flout.
india	A country in Southern Asia; the two peninsulas of Hither and Farther India; in a restricted sense, Hither India, or Hindostan.
shooi	The Richardson's skua (Stercorarius parasiticus);- so called from its cry.
pavin	See Pavan.
slent	See Slant.
noyer	An annoyer.
buchu	A South African shrub (Barosma) with small leaves that are dotted with oil glands; also, the leaves themselves, which are used in medicine for diseases of the urinary organs, etc. Several species furnish the leaves.
chock	An encounter.
motto	A sentence, phrase, or word, forming part of an heraldic achievment.
patty	A little pie.
scard	A shard or fragment.
voter	One who votes; one who has a legal right to vote, or give his suffrage; an elector; a suffragist; as, an independent voter.
anito	In Guam and the Philippines, an idol, fetich, or spirit.
leach	See Leech, a physician.
biota	all the plant and animal life of a particular region.
eject	An object that is a conscious or living object, and hence not a direct object, but an inferred object or act of a subject, not myself; -- a term invented by W. K. Clifford.
stall	To live in, or as in, a stall; to dwell.
wrest	The act of wresting; a wrench; a violent twist; hence, distortion; perversion.
diary	A register of daily events or transactions; a daily record; a journal; a blank book dated for the record of daily memoranda; as, a diary of the weather; a physician's diary.
lefty	a person who uses the left hand with greater skill than the right; a left-handed person.
stour	A battle or tumult; encounter; combat; disturbance; passion.
stith	An anvil; a stithy.
bruta	See Edentata.
chich	The chick-pea.
nugae	Trifles; jests.
biddy	An Irish serving woman or girl.
fogie	See Fogy.
bolus	A rounded mass of anything, esp. a large pill.
nares	The nostrils or nasal openings, -- the anterior nares being the external or proper nostrils, and the posterior nares, the openings of the nasal cavities into the mouth or pharynx.
laism	See Lamaism.
loral	Of or pertaining to the lores.
obrok	A poll tax paid by peasants absent from their lord's estate.
piper	One who plays on a pipe, or the like, esp. on a bagpipe.
petre	See Saltpeter.
penna	A perfect, or normal, feather.
snuff	The act of snuffing; perception by snuffing; a sniff.
sigla	The signs, abbreviations, letters, or characters standing for words, shorthand, etc., in ancient manuscripts, or on coins, medals, etc.
annwn	the other world; land of fairies.
ankle	The joint which connects the foot with the leg; the tarsus.
jutty	A projection in a building; also, a pier or mole; a jetty.
niobe	The daughter of Tantalus, and wife of Amphion, king of Thebes.  Her pride in her children provoked Apollo and Diana, who slew them all.  Niobe herself was changed by the gods into stone.
rotor	The rotating part of a generator or motor.  Contrasted with stator, the stationary part.
fanon	A maniple.
grame	Anger; wrath; scorn.
yunca	An Indian of a linguistic stock of tribes of the Peruvian coast who had a developed agricultural civilization at the advent of the Spaniards, before which they had been conquered by the Incas. They constructed irrigation canals which are still in use, adorned their buildings with bas-reliefs and frescoes, and were skilled goldsmiths and silversmiths.
ariel	In the Cabala, a water spirit; in later folklore, a light and graceful spirit of the air.
frape	A crowd, a rabble.
krait	A very venomous snake of India (Bungarus coeruleus), allied to the cobra.  Its upper parts are bluish or brownish black, often with narrow white streaks; the belly is whitish.
shoat	A young hog. Same as Shote.
aroid	Any plant of the Arum family (Arace<ae/); -- have small flowers massed on a spadix surrounded by a large spathe.
hunch	A hump; a protuberance.
gives	Fetters.
porte	The Ottoman court; the government of the Turkish empire, officially called the Sublime Porte, from the gate (port) of the sultan's palace at which justice was administered.
billy	A club; esp., a policeman's club.  Also called billy club
conia	Same as Conine.
lowry	An open box car used on railroads.  Compare Lorry.
teeth	pl. of Tooth.
clape	A bird; the flicker.
ethos	The character, sentiment, or disposition of a community or people, considered as a natural endowment; the spirit which actuates manners and customs; also, the characteristic tone or genius of an institution or social organization.
iodol	A crystallized substance of the composition C4I4NH, technically tetra-iodo-pyrrol, used like iodoform.
table	A smooth, flat surface, like the side of a board; a thin, flat, smooth piece of anything; a slab.
black	That which is destitute of light or whiteness; the darkest color, or rather a destitution of all color; as, a cloth has a good black.
tiara	A form of headdress worn by the ancient Persians. According to Xenophon, the royal tiara was encircled with a diadem, and was high and erect, while those of the people were flexible, or had rims turned over.
lygus	A genus of plant-sucking bugs.
crate	A large basket or hamper of wickerwork, used for the transportation of china, crockery, and similar wares.
farry	A farrow.
cynic	One of a sect or school of philosophers founded by Antisthenes, and of whom Diogenes was a disciple. The first Cynics were noted for austere lives and their scorn for social customs and current philosophical opinions. Hence the term Cynic symbolized, in the popular judgment, moroseness, and contempt for the views of others.
nyala	A spiral-horned South African antelope (Tragelaphus angasi) with a fringe of white hairs along back and neck.
phene	Benzene.
rival	A person having a common right or privilege with another; a partner.
south	That one of the four cardinal points directly opposite to the north; the region or direction to the right or direction to the right of a person who faces the east.
avail	Profit; advantage toward success; benefit; value; as, labor, without economy, is of little avail.
arrha	Money or other valuable thing given to evidence a contract; a pledge or earnest.
maleo	A bird of Celebes (megacephalon maleo), allied to the brush turkey. It makes mounds in which to lay its eggs.
crimp	A coal broker.
flask	A small bottle-shaped vessel for holding fluids; as, a flask of oil or wine.
fungi	A group of thallophytic plant-like organisms of low organization, destitute of chlorophyll, in which reproduction is mainly accomplished by means of asexual spores, which are produced in a great variety of ways, though sexual reproduction is known to occur in certain Phycomycetes, or so-called algal fungi. They include the molds, mildews, rusts, smuts, mushrooms, toadstools, puff balls, and the allies of each.  In the two-kingdom classification system they were classed with the plants, but in the modern five-kingdom classification, they are not classed as plants, but are classed in their own separate kingdom fungi, which includes the phyla Zygomycota (including simple fungi such as bread molds), Ascomycota (including the yeasts), Basidiomycota (including the mushrooms, smuts, and rusts), and Deuteromycota (the fungi imperfecti).  Some of the forms, such as the yeasts, appear as single-celled microorganisms, but all of the fungi are are eukaryotic, thus distinguishing them from the prokaryotic microorganisms of the kingdon Monera.
ramee	See Ramie.
thing	Whatever exists, or is conceived to exist, as a separate entity, whether animate or inanimate; any separable or distinguishable object of thought.
corer	That which cores; an instrument for coring fruit; as, an apple corer.
ethyl	A monatomic, hydrocarbon radical, C2H5 of the paraffin series, forming the essential radical of ethane, and of common alcohol and ether.
ridge	The back, or top of the back; a crest.
scald	One of the ancient Scandinavian poets and historiographers; a reciter and singer of heroic poems, eulogies, etc., among the Norsemen; more rarely, a bard of any of the ancient Teutonic tribes.
scrog	A stunted shrub, bush, or branch.
brick	A block or clay tempered with water, sand, etc., molded into a regular form, usually rectangular, and sun-dried, or burnt in a kiln, or in a heap or stack called a clamp.
oxeye	A genus of composite plants (Buphthalmum) with large yellow flowers.
glaze	The vitreous coating of pottery or porcelain; anything used as a coating or color in glazing. See Glaze, v. t., 3.
tales	The writ by which such persons are summoned.
vertu	Virtue; power.  See Virtue.
witan	The members of the national, or king's, council which sat to assist the king in administrative and judicial matters; also, the council.
aback	An abacus.
bowse	A carouse; a drinking bout; a booze.
cacao	A small evergreen tree (Theobroma Cacao) of South America and the West Indies.  Its fruit contains an edible pulp, inclosing seeds about the size of an almond, from which cocoa, chocolate, and broma are prepared.
flake	A flat layer, or fake, of a coiled cable.
poker	Any imagined frightful object, especially one supposed to haunt the darkness; a bugbear.
scute	A small shield.
silex	Silica, SiO2 as found in nature, constituting quarz, and most sands and sandstones. See Silica, and Silicic.
valet	A male waiting servant; a servant who attends on a gentleman's person; a body servant.
wootz	A species of steel imported from the East Indies, valued for making edge tools; Indian steel. It has in combination a minute portion of alumina and silica.
icing	A coating or covering resembling ice, as of sugar and milk or white of egg; frosting.
kraal	A collection of huts within a stockade; a village; sometimes, a single hut.
jolly	A marine in the English navy.
octic	A quantic of the eighth degree.
pulex	A genus of parasitic insects including the fleas. See Flea.
clang	A loud, ringing sound, like that made by metallic substances when clanged or struck together.
haven	A bay, recess, or inlet of the sea, or the mouth of a river, which affords anchorage and shelter for shipping; a harbor; a port.
folio	A leaf of a book or manuscript.
hansa	See 2d Hanse.
plaid	A rectangular garment or piece of cloth, usually made of the checkered material called tartan, but sometimes of plain gray, or gray with black stripes. It is worn by both sexes in Scotland.
pyxie	Same as Pixy.
roper	A maker of ropes.
relik	Relic.
borsh	a Russian soup usually containing beet juice as a foundation, and often served with sour cream.  Also, as used in the U.S., a sour cabbage soup, called in Russian shchi.
cluck	The call of a hen to her chickens.
dicky	See dickey.
toyer	One who toys; one who is full of trifling tricks; a trifler.
vegan	A vegetarian who does not eat any animal products, not even fish, eggs, or milk.
antic	A buffoon or merry-andrew; one that practices odd gesticulations; the Fool of the old play.
badge	A distinctive mark, token, sign, or cognizance, worn on the person; as, the badge of a society; the badge of a policeman.
curse	An invocation of, or prayer for, harm or injury; malediction.
jumbo	Any object which is a very large example of its class.
tenor	A state of holding on in a continuous course; manner of continuity; constant mode; general tendency; course; career.
triad	A union of three; three objects treated as one; a ternary; a trinity; as, a triad of deities.
zuche	A stump of a tree.
croon	A low, continued moan; a murmur.
skout	A guillemot.
phare	A beacon tower; a lighthouse.
smart	Quick, pungent, lively pain; a pricking local pain, as the pain from puncture by nettles.
turbo	Any one of numerous marine gastropods of the genus Turbo or family Turbinidae, usually having a turbinate shell, pearly on the inside, and a calcareous operculum.
boist	A box.
iowas	A tribe of Indians which formerly occupied the region now included in the State of Iowa.
elaps	A genus of venomous snakes found both in America and the Old World. Many species are known. See Coral snake, under Coral.
houss	A saddlecloth; a housing.
liver	The glossy ibis (Ibis falcinellus); -- said to have given its name to the city of Liverpool.
power	Ability to act, regarded as latent or inherent; the faculty of doing or performing something; capacity for action or performance; capability of producing an effect, whether physical or moral: potency; might; as, a man of great power; the power of capillary attraction; money gives power.
stirp	Stock; race; family.
steed	A horse, especially a spirited horse for state or war; -- used chiefly in poetry or stately prose.
athar	essential oil or perfume obtained from flowers.
agony	Violent contest or striving.
culpa	Negligence or fault, as distinguishable from dolus (deceit, fraud), which implies intent, culpa being imputable to defect of intellect, dolus to defect of heart.
camus	See Camis.
lagan	See Ligan.
peach	A well-known high-flavored juicy fruit, containing one or two seeds in a hard almond-like endocarp or stone.  In the wild stock the fruit is hard and inedible.
swiss	A native or inhabitant of Switzerland; a Switzer; the people of Switzerland.
acton	A stuffed jacket worn under the mail, or (later) a jacket plated with mail.
boodh	Same as Buddha.
tasco	A kind of clay for making melting pots.
digit	One of the terminal divisions of a limb appendage; a finger or toe.
largo	A movement or piece in largo time.
event	That which comes, arrives, or happens; that which falls out; any incident, good or bad.
tewan	A tribe of American Indians including many of the Pueblos of New Mexico and adjacent regions.
benni	an East Indian annual erect herb (Sesamum indicum); the source of sesame seed or benniseed and sesame oil.  Same as benne
cowan	One who works as a mason without having served a regular apprenticeship.
nerve	One of the whitish and elastic bundles of fibers, with the accompanying tissues, which transmit nervous impulses between nerve centers and various parts of the animal body.
rhyme	To make rhymes, or verses.
arret	An arrest; a legal seizure.
chant	Song; melody.
sound	The peceived object occasioned by the impulse or vibration of a material substance affecting the ear; a sensation or perception of the mind received through the ear, and produced by the impulse or vibration of the air or other medium with which the ear is in contact; the effect of an impression made on the organs of hearing by an impulse or vibration of the air caused by a collision of bodies, or by other means; noise; report; as, the sound of a drum; the sound of the human voice; a horrid sound; a charming sound; a sharp, high, or shrill sound.
villa	A country seat; a country or suburban residence of some pretensions to elegance.
cruth	See 4th Crowd.
lupus	originally, a cutaneous disease with the appearance of the skin having been gnawed, and occurring under two distinct forms.  Now used as a generic term for over ten distinguishable diseases having visible cutaneous symptoms.
prest	Ready money; a loan of money.
shilf	Straw.
vives	A disease of brute animals, especially of horses, seated in the glands under the ear, where a tumor is formed which sometimes ends in suppuration.
argon	A colorless, odorless gas occurring in the air (of which it constitutes 0.93 per cent by volume), in volcanic gases, etc.; -- so named on account of its inertness by Rayleigh and Ramsay, who prepared and examined it in 1894-95. Symbol, A; at. wt., 39.9. Argon is condensible to a colorless liquid boiling at -186.1<deg/ C. and to a solid melting at -189.6<deg/ C. It has a characteristic spectrum. No compounds of it are known, but there is physical evidence that its molecule is monatomic. Weight of one liter at 0<deg/ C. and 760 mm., 1.7828 g.
built	Shape; build; form of structure; as, the built of a ship.
aboma	A large South American serpent (Boa aboma).
samaj	A society or congregation; a church or religious body.
exile	Forced separation from one's native country; expulsion from one's home by the civil authority; banishment; sometimes, voluntary separation from one's native country.
gaudy	A feast or festival; -- called also gaud-day and gaudy day.
nidus	A nest: a repository for the eggs of birds, insects, etc.; a breeding place; esp., the place or substance where parasites or the germs of a disease effect lodgment or are developed.
tatty	A mat or screen of fibers, as of the kuskus grass, hung at a door or window and kept wet to moisten and cool the air as it enters.
aegis	A shield or protective armor; -- applied in mythology to the shield of Jupiter which he gave to Minerva.  Also fig.: A shield; a protection.
banco	A bank, especially that of Venice.
lovee	One who is loved.
copts	An Egyptian race thought to be descendants of the ancient Egyptians.
chase	A rectangular iron frame in which pages or columns of type are imposed.
shoon	pl. of Shoe.
scrow	A scroll.
coati	A mammal of tropical America of the genus Nasua, allied to the raccoon, having a ringed tail but with a longer body, tail, and nose; -- called also coati mondi and coati mundi.
napus	A kind of turnip. See Navew.
weald	A wood or forest; a wooded land or region; also, an open country; -- often used in place names.
canis	A genus of carnivorous mammals, of the family Canid<ae/, including the dogs and wolves.
kaama	The hartbeest.
rewth	Ruth.
stean	See Steen.
venew	A bout, or turn, as at fencing; a thrust; a hit; a veney.
dulse	A seaweed of a reddish brown color, which is sometimes eaten, as in Scotland. The true dulse is Sarcophyllis edulis; the common is Rhodymenia. [Written also dillisk.]
galea	The upper lip or helmet-shaped part of a labiate flower.
hepar	Liver of sulphur; a substance of a liver-brown color, sometimes used in medicine. It is formed by fusing sulphur with carbonates of the alkalies (esp. potassium), and consists essentially of alkaline sulphides. Called also hepar sulphuris (<?/).
pride	The quality or state of being proud; inordinate self-esteem; an unreasonable conceit of one's own superiority in talents, beauty, wealth, rank, etc., which manifests itself in lofty airs, distance, reserve, and often in contempt of others.
tinet	Brushwood and thorns for making and repairing hedges.
zilla	A low, thorny, suffrutescent, crucifeous plant (Zilla myagroides) found in the deserts of Egypt. Its leaves are boiled in water, and eaten, by the Arabs.
assur	an ancient Assyrian city.
brawl	A noisy quarrel; loud, angry contention; a wrangle; a tumult; as, a drunken brawl.
togue	The namaycush.
goost	Ghost; spirit.
plyer	See Pliers.
cuddy	The coalfish (Pollachius carbonarius).
error	A wandering; a roving or irregular course.
flair	Smell; odor.
stipe	The stem of a fungus or mushroom.
bavin	A fagot of brushwood, or other light combustible matter, for kindling fires; refuse of brushwood.
caput	The head; also, a knoblike protuberance or capitulum.
shoad	A train of vein material mixed with rubbish; fragments of ore which have become separated by the action of water or the weather, and serve to direct in the discovery of mines.
strut	The act of strutting; a pompous step or walk.
hades	The nether world (according to classical mythology, the abode of the shades, ruled over by Hades or Pluto); the invisible world; the grave.
nenia	A funeral song; an elegy.
match	Anything used for catching and retaining or communicating fire, made of some substance which takes fire readily, or remains burning some time; esp., a small strip or splint of wood or cardboard dipped at one end in a substance which can be easily ignited by friction, as a preparation of phosphorus or chlorate of potassium.
nigua	The chigoe.
realm	A royal jurisdiction or domain; a region which is under the dominion of a king; a kingdom.
frill	A ruffled varex or fold on certain shells.
muser	One who muses.
latch	To catch so as to hold.
sulky	A light two-wheeled carriage for a single person.
timer	A timekeeper; especially, a watch by which small intervals of time can be measured; a kind of stop watch. It is used for timing the speed of horses, machinery, etc.
upper	The upper leather for a shoe; a vamp.
yamma	The llama.
demit	The act of demitting; also, a letter, certificate, or the like, certifying that a person has (honorably) demitted, as from a Masonic lodge.
graph	A curve or surface, the locus of a point whose coordinates are the variables in the equation of the locus; as, a graph of the exponential function.
malet	A little bag or budget.
guige	See Gige.
helve	The handle of an ax, hatchet, or adze.
felid	any of various lithe-bodied round-headed fissiped mammals, many with retractile claws; a member of the Felidae.
ovule	An ovum.
porch	A covered and inclosed entrance to a building, whether taken from the interior, and forming a sort of vestibule within the main wall, or projecting without and with a separate roof. Sometimes the porch is large enough to serve as a covered walk. See also Carriage porch, under Carriage, and Loggia.
sport	That which diverts, and makes mirth; pastime; amusement.
thave	Same as theave.
volta	A turning; a time; -- chiefly used in phrases signifying that the part is to be repeated one, two, or more times; as, una volta, once.  Seconda volta, second time, points to certain modifications in the close of a repeated strain.
brier	the white heath Erica arborea.
brume	Mist; fog; vapors.
scurf	Thin dry scales or scabs upon the body; especially, thin scales exfoliated from the cuticle, particularly of the scalp; dandruff.
tommy	Bread, -- generally a penny roll; the supply of food carried by workmen as their daily allowance.
conga	music composed for dancing the conga.
morin	A yellow crystalline substance (C15H10O7) of acid properties extracted from fustic (Chlorophora tinctoria syn. Maclura tinctoria, formerly called Morus tinctoria); -- called also moric acid and natural yellow 8.  It is used as a dye for wool, giving a color from lemon yellow through olive to olive brown, depending on the metal with which it is mordanted.
lisne	A cavity or hollow.
oscan	The language of the Osci.
monal	Any Asiatic pheasant of the genus Lophophorus, as the Impeyan pheasant.
paper	A substance in the form of thin sheets or leaves intended to be written or printed on, or to be used in wrapping.  It is made of rags, straw, bark, wood, or other fibrous material, which is first reduced to pulp, then molded, pressed, and dried.
pinus	A large genus of evergreen coniferous trees, mostly found in the northern hemisphere. The genus formerly included the firs, spruces, larches, and hemlocks, but is now limited to those trees which have the primary leaves of the branchlets reduced to mere scales, and the secondary ones (pine needles) acicular, and usually in fascicles of two to seven. See Pine.
coyol	a tropical American palm (Acrocomia vinifera) having edible nuts and yielding a useful fiber.
doyly	See Doily.
ovary	That part of the pistil which contains the seed, and in most flowering plants develops into the fruit. See Illust. of Flower.
zayat	A public shed, or portico, for travelers, worshipers, etc.
morne	A ring fitted upon the head of a lance to prevent wounding an adversary in tilting.
nexus	Connection; tie.
bogey	A goblin; a bugbear.
april	The fourth month of the year.
abdal	A religious devotee or dervish in Persia.
graze	The act of grazing; the cropping of grass.
gatch	Plaster as used in Persian architecture and decorative art.
swash	Impulse of water flowing with violence; a dashing or splashing of water.
troad	See Trode.
auget	A priming tube connecting the charge chamber with the gallery, or place where the slow match is applied.
eyren	See Ey, an egg.
linum	A genus of herbaceous plants including the flax (Linum usitatissimum).
mimer	A person who performs in a mime.
purre	The dunlin.
tisic	Consumption; phthisis. See Phthisis.
charr	See 1st Char.
decyl	A hydrocarbon radical, C10H21., never existing alone, but regarded as the characteristic constituent of a number of compounds of the paraffin series.
drank	Wild oats, or darnel grass. See Drake a plant.
eruca	An insect in the larval state; a caterpillar; a larva.
bevel	Any angle other than a right angle; the angle which one surface makes with another when they are not at right angles; the slant or inclination of such surface; as, to give a bevel to the edge of a table or a stone slab; the bevel of a piece of timber.
citer	One who cites.
chaus	a lynxlike animal of Asia and Africa (Lynx Lybicus).
caber	A pole or beam, esp. one used in Gaelic games for tossing as a trial of strength.
dwang	A piece of wood set between two studs, posts, etc., to stiffen and support them.
donat	A grammar.
effet	The common newt; -- called also asker, eft, evat, and ewt.
rusma	A depilatory made of orpiment and quicklime, and used by the Turks. See Rhusma.
build	Form or mode of construction; general figure; make; as, the build of a ship; a great build on a man.
bunce	a sudden unexpected piece of good fortune.
snail	Any gastropod having a general resemblance to the true snails, including fresh-water and marine species. See Pond snail, under Pond, and Sea snail.
sewel	A scarecrow, generally made of feathers tied to a string, hung up to prevent deer from breaking into a place.
sleer	A slayer.
nacho	A tortilla chip topped with cheese and often chili-pepper or beans and then broiled; -- eaten as a snack or light meal.
ranny	The erd shrew.
anime	A resin exuding from a tropical American tree (Hymen<ae/a courbaril), and much used by varnish makers.
knout	A kind of whip for flogging criminals, formerly much used in Russia. The lash is a tapering bundle of leather thongs twisted with wire and hardened, so that it mangles the flesh.
groan	A low, moaning sound; usually, a deep, mournful sound uttered in pain or great distress; sometimes, an expression of strong disapprobation; as, the remark was received with groans.
gravy	The juice or other liquid matter that drips from flesh in cooking, made into a dressing for the food when served up.
myrrh	A gum resin, usually of a yellowish brown or amber color, of an aromatic odor, and a bitter, slightly pungent taste.  It is valued for its odor and for its medicinal properties.  It exudes from the bark of a shrub of Abyssinia and Arabia, the Commiphora Myrrha (syn. Balsamodendron Myrrha) of the family Burseraceae, or from the Commiphora abyssinica.  The myrrh of the Bible is supposed to have been partly the gum above named, and partly the exudation of species of Cistus, or rockrose.
smift	A match for firing a charge of powder, as in blasting; a fuse.
wring	A writhing, as in anguish; a twisting; a griping.
bairn	A child.
blood	The fluid which circulates in the principal vascular system of animals, carrying nourishment to all parts of the body, and bringing away waste products to be excreted. See under Arterial.
nonce	The one or single occasion; the present call or purpose; -- chiefly used in the phrase for the nonce, i. e. for the present time.
payen	Pagan.
carex	A numerous and widely distributed genus of perennial herbaceous plants of the order Cypreace<ae/; the sedges.
lunch	A luncheon; specifically, a light repast between breakfast and dinner, most commonly about noontime.
limer	A limehound; a limmer.
blunt	A fencer's foil.
gleba	The chambered sporogenous tissue forming the central mass of the sporophore in puff balls, stinkhorns, etc.
sloke	See sloakan.
sargo	Any one of several species of sparoid fishes belonging to Sargus, Pomadasys, and related genera; -- called also sar, and saragu.
fille	a young unmarried woman.
slatt	A slab of stone used as a veneer for coarse masonry.
chink	A short, sharp sound, as of metal struck with a slight degree of violence.
monde	The world; a globe as an ensign of royalty.
ascus	A small membranous bladder or tube in which are inclosed the seedlike reproductive particles or sporules of lichens and certain fungi.
drain	The act of draining, or of drawing off; gradual and continuous outflow or withdrawal; as, the drain of specie from a country; the project is a drain on resources.
